Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=2099581253

---

Month,Income,Expenditure,Savings/Investments,Net Cash Flow,Daily Avg Spend,Top Subcategory
2020-08,"1,030,000.00","180,000.00",0.00,"850,000.00","5,806.00",Family Support
2020-09,"200,000.00","215,000.00",0.00,"-15,000.00","7,167.00",Peer Payment
2020-10,"623,000.00","654,000.00",0.00,"-31,000.00","21,097.00",Peer Payment
2021-02,0.00,"49,000.00",0.00,"-49,000.00","1,750.00",Peer Payment
2021-05,0.00,"211,000.00",0.00,"-211,000.00","6,806.00",Peer Payment
2021-06,"880,000.00","2,372,000.00",0.00,"-1,492,000.00","79,067.00",Peer Payment
2021-07,"30,400.00","754,000.00",0.00,"-723,600.00","24,323.00",Peer Payment
2021-08,"47,000.00","1,421,000.00",0.00,"-1,374,000.00","45,839.00",Peer Payment
2021-09,"1,047,250.00","2,045,000.00",0.00,"-997,750.00","68,167.00",Peer Payment
2021-10,"365,000.00","925,500.00",0.00,"-560,500.00","29,855.00",Peer Payment
2021-11,"630,000.00","1,790,500.00",0.00,"-1,160,500.00","59,683.00",Peer Payment
2021-12,"4,380,500.00","1,933,580.00",0.00,"2,446,920.00","62,374.00",Peer Payment
2022-01,"270,000.00","854,000.00",0.00,"-584,000.00","27,548.00",Peer Payment
2022-02,"25,880.00","1,028,300.00",0.00,"-1,002,420.00","36,725.00",Peer Payment
2022-03,"4,200,000.00","3,232,275.00",0.00,"967,725.00","104,267.00",Housing
2022-04,"4,150,000.00","3,844,610.00",0.00,"305,390.00","128,154.00",Housing
2022-05,"4,331,090.00","4,412,133.00",0.00,"-81,043.00","142,327.00",Housing
2022-06,"4,000,000.00","4,175,550.00","10,000.00","-175,550.00","139,185.00",Social Activities
2022-07,"6,101,500.00","3,682,075.00","35,000.00","2,419,425.00","118,777.00",Food & Dining
2022-08,"4,020,980.00","4,115,290.00","10,000.00","-94,310.00","132,751.00",Social Activities
2022-09,"4,000,000.00","3,814,800.00","30,000.00","185,200.00","127,160.00",Social Activities
2022-10,"4,000,000.00","3,534,150.00",0.00,"465,850.00","114,005.00",Travel
2022-11,"4,000,000.00","3,152,600.00",0.00,"847,400.00","105,087.00",Housing
2022-12,"4,120,000.00","3,427,500.00",0.00,"692,500.00","110,565.00",Housing
2023-01,"3,710,000.00","6,171,248.00","20,000.00","-2,461,248.00","199,073.00",Communication
2023-02,"4,800,000.00","4,224,185.00",0.00,"575,815.00","150,864.00",Housing
2023-03,"4,800,000.00","5,378,500.00",0.00,"-578,500.00","173,500.00",Housing
2023-04,"4,800,000.00","5,195,772.00",0.00,"-395,772.00","173,192.00",Housing
2023-06,"5,475,000.00","6,227,080.00","100,000.00","-752,080.00","207,569.00",Housing
2023-07,"5,346,000.00","5,384,945.00",0.00,"-38,945.00","173,708.00",Housing
2023-08,"5,162,375.00","5,045,050.00","25,000.00","117,325.00","162,744.00",Housing
2023-09,"4,800,000.00","5,644,926.00","10,000.00","-844,926.00","188,164.00",Housing
2023-10,"4,800,000.00","4,944,850.00",0.00,"-144,850.00","159,511.00",Housing
2023-11,"5,400,000.00","6,029,990.00",0.00,"-629,990.00","201,000.00",Housing
2023-12,"4,800,000.00","4,277,665.00",0.00,"522,335.00","137,989.00",Housing
2024-01,"2,100,000.00","1,676,000.00",0.00,"424,000.00","54,065.00",Housing
2024-03,"2,200,000.00","3,494,000.00",0.00,"-1,294,000.00","112,710.00",Housing
2024-04,"5,685,000.00","5,381,900.00",0.00,"303,100.00","179,397.00",Housing
2024-05,"4,800,000.00","3,470,700.00",0.00,"1,329,300.00","111,958.00",Housing
2024-06,"3,000,000.00","5,462,600.00",0.00,"-2,462,600.00","182,087.00",Housing
2024-07,"4,137,800.00","5,757,600.00",0.00,"-1,619,800.00","185,729.00",Housing
2024-08,"4,969,000.00","5,229,702.00",0.00,"-260,702.00","168,700.00",Housing
2024-09,"4,344,000.00","5,589,220.00",0.00,"-1,245,220.00","186,307.00",Housing
2024-10,"4,050,000.00","4,341,955.00","20,000.00","-291,955.00","140,063.00",Substances
2024-11,"7,448,105.00","6,434,600.00","212,000.00","1,013,505.00","214,487.00",Substances
2024-12,"3,400,000.00","4,262,300.00","100,000.00","-862,300.00","137,494.00",Housing
2025-01,"3,880,238.00","5,353,580.00","40,000.00","-1,473,342.00","172,696.00",Substances
2025-02,"877,500.00","4,014,321.00","30,000.00","-3,136,821.00","143,369.00",Substances
2025-03,0.00,"2,965,011.00","53,000.00","-2,965,011.00","95,646.00",Substances
2025-04,"591,500.00","2,041,212.00","30,000.00","-1,449,712.00","68,040.00",Substances
2025-05,"2,216,266.00","3,675,211.00","47,000.00","-1,458,945.00","118,555.00",Groceries
2025-06,"1,120,000.00","1,981,075.00",0.00,"-861,075.00","66,036.00",Substances
2025-07,"2,205,000.00","2,586,048.00","15,000.00","-381,048.00","83,421.00",Medical
